baza_danych,RK,PC,RD,UDF,etykieta
mongodb,4,6,1.0,17_left_join,0.30113963260072496
mongodb,4,6,1.0,20_nested_loops,0.1220245949313287
mongodb,4,6,1.0,10_intersect,0.14701778919667902
mongodb,4,6,1.5,18_merge_join,0.13203996092196238
mongodb,4,6,1.5,16_large_agg,0.48757950723893073
mongodb,4,6,1.5,17_left_join,0.29885884266290497
mongodb,4,6,1.5,20_nested_loops,0.15203492014504574
mongodb,4,6,1.5,10_intersect,0.15067039758531264
mongodb,4,6,2.0,18_merge_join,0.13222018061267504
mongodb,4,6,2.0,16_large_agg,0.48661451266219075
mongodb,4,6,2.0,17_left_join,0.29451668494076083
mongodb,4,6,2.0,20_nested_loops,0.15395175277631531
mongodb,4,6,2.0,10_intersect,0.15353605947098187
mongodb,4,9,1.0,18_merge_join,0.12785793009393726
mongodb,4,9,1.0,16_large_agg,0.476394293705436
mongodb,4,9,1.0,17_left_join,0.29339612531589404
mongodb,4,9,1.0,20_nested_loops,0.13110463451705032
mongodb,4,9,1.0,10_intersect,0.155831489111237
mongodb,4,9,1.5,18_merge_join,0.1308764985638119
mongodb,4,9,1.5,16_large_agg,0.48204681518236553
mongodb,4,9,1.5,17_left_join,0.31353625411060804
mongodb,4,9,1.5,20_nested_loops,0.13182166490271102
mongodb,4,9,1.5,10_intersect,0.15523129060146607
mongodb,4,9,2.0,18_merge_join,0.12497677533876214
mongodb,4,9,2.0,16_large_agg,0.4620495661954116
mongodb,4,9,2.0,17_left_join,0.28469180978955466
mongodb,4,9,2.0,20_nested_loops,0.13175218585829468
mongodb,4,9,2.0,10_intersect,0.1508534837333482
mongodb,5,1,1.0,18_merge_join,0.15751325760071302
mongodb,5,1,1.0,16_large_agg,0.5257905412894399
mongodb,5,1,1.0,17_left_join,0.32973066017805397
mongodb,5,1,1.0,20_nested_loops,0.20768927677913868
mongodb,5,1,1.0,10_intersect,0.18134937128112877
mongodb,5,1,1.5,18_merge_join,0.1667170156028097
mongodb,5,1,1.5,16_large_agg,0.5169635176794417
mongodb,5,1,1.5,17_left_join,0.27581132158826455
mongodb,5,1,1.5,20_nested_loops,0.2075610332945187
mongodb,5,1,1.5,10_intersect,0.1851857166526548
mongodb,5,1,2.0,18_merge_join,0.16840403821254238
mongodb,5,1,2.0,16_large_agg,0.5302152853180728
mongodb,5,1,2.0,17_left_join,0.3014340335666959
mongodb,5,1,2.0,20_nested_loops,0.26033178866224665
mongodb,5,1,2.0,10_intersect,0.19457946165173748
mongodb,5,3,1.0,18_merge_join,0.09337119455406206
mongodb,5,3,1.0,16_large_agg,0.49324543007111576
mongodb,5,3,1.0,17_left_join,0.3012558900974697
mongodb,5,3,1.0,20_nested_loops,0.12561593001009977
mongodb,5,3,1.0,10_intersect,0.17568656008694486
mongodb,5,3,1.5,18_merge_join,0.12430128156207157
mongodb,5,3,1.5,16_large_agg,0.488157766038187
mongodb,5,3,1.5,17_left_join,0.264595841024241
mongodb,5,3,1.5,20_nested_loops,0.1869071553974353
mongodb,5,3,1.5,10_intersect,0.17118564209254747
mongodb,5,3,2.0,18_merge_join,0.13163566677228106
mongodb,5,3,2.0,16_large_agg,0.51170870196869
mongodb,5,3,2.0,17_left_join,0.28704041631771554
mongodb,5,3,2.0,20_nested_loops,0.15746919697682243
mongodb,5,3,2.0,10_intersect,0.15188582935235104
mongodb,5,6,1.0,20_nested_loops,0.15035192968125308
mongodb,5,6,1.0,16_large_agg,0.5114514326449043
mongodb,5,6,1.0,10_intersect,0.13963220123509584
mongodb,5,6,1.0,18_merge_join,0.1321227594335393
mongodb,5,6,1.5,18_merge_join,0.13785357053135006
mongodb,5,6,1.5,16_large_agg,0.4729433309856177
mongodb,5,6,1.5,17_left_join,0.28116626420598634
mongodb,5,6,1.5,20_nested_loops,0.15056148996326615
mongodb,5,6,1.5,10_intersect,0.1393463102392777
mongodb,5,6,2.0,18_merge_join,0.1341209943741882
mongodb,5,6,2.0,16_large_agg,0.48573382984919833
mongodb,5,6,2.0,17_left_join,0.25969082916691083
mongodb,5,6,2.0,20_nested_loops,0.20099463921830055
mongodb,5,6,2.0,10_intersect,0.15856642591638098
mongodb,5,9,1.0,18_merge_join,0.11452961613655734
mongodb,5,9,1.0,16_large_agg,0.46694812287963705
mongodb,5,9,1.0,17_left_join,0.27523292398642324
mongodb,5,9,1.0,20_nested_loops,0.1294524041017138
mongodb,5,9,1.0,10_intersect,0.1297148587823722
mongodb,5,9,1.5,18_merge_join,0.12549979516670756
mongodb,5,9,1.5,16_large_agg,0.47712851943856455
mongodb,5,9,1.5,17_left_join,0.28626155623017224
mongodb,5,9,1.5,20_nested_loops,0.1351189527182674
mongodb,5,9,1.5,10_intersect,0.13572586907264034
mongodb,5,9,2.0,18_merge_join,0.13204864561451882
mongodb,5,9,2.0,16_large_agg,0.4831019846661773
mongodb,5,9,2.0,17_left_join,0.2678701608182512
mongodb,5,9,2.0,20_nested_loops,0.11812101736137001
mongodb,5,9,2.0,10_intersect,0.1384924912065671
postgresql,3,1,3.0,18_merge_join,0.346739840842127
postgresql,3,1,3.0,16_large_agg,0.17814339114099365
postgresql,3,1,3.0,17_left_join,0.30429541705145235
postgresql,3,1,3.0,20_nested_loops,0.3827397758350565
postgresql,3,1,3.0,10_intersect,0.21202433713186952
postgresql,3,1,4.5,18_merge_join,0.34677687067390256
postgresql,3,1,4.5,16_large_agg,0.22106095194156858
postgresql,3,1,4.5,17_left_join,0.3004083165647107
postgresql,3,1,4.5,20_nested_loops,0.4030539360852097
postgresql,3,1,4.5,10_intersect,0.21841107105253688
postgresql,3,1,6.0,18_merge_join,0.3537674718797945
postgresql,3,1,6.0,16_large_agg,0.16634543115076172
postgresql,3,1,6.0,17_left_join,0.302340327060951
postgresql,3,1,6.0,20_nested_loops,0.36873844626828584
postgresql,3,1,6.0,10_intersect,0.2094344516181587
postgresql,3,3,3.0,18_merge_join,0.20786141940463082
postgresql,3,3,3.0,16_large_agg,0.08874513480171967
postgresql,3,3,3.0,17_left_join,0.2207345584614521
postgresql,3,3,3.0,20_nested_loops,0.2202261278094421
postgresql,3,3,3.0,10_intersect,0.12933481111401895
postgresql,3,3,4.5,18_merge_join,0.20538491126609038
postgresql,3,3,4.5,16_large_agg,0.09792508241621652
postgresql,3,3,4.5,17_left_join,0.22835379749912765
postgresql,3,3,4.5,20_nested_loops,0.23335618546601514
postgresql,3,3,4.5,10_intersect,0.12987621497172733
postgresql,3,3,6.0,18_merge_join,0.22011549289879712
postgresql,3,3,6.0,16_large_agg,0.08957180220900311
postgresql,3,3,6.0,17_left_join,0.2063436324665554
postgresql,3,3,6.0,20_nested_loops,0.2198624903748281
postgresql,3,3,6.0,10_intersect,0.12729321112984163
postgresql,3,6,3.0,18_merge_join,0.15565045439388278
postgresql,3,6,3.0,16_large_agg,0.06290360332096946
postgresql,3,6,3.0,17_left_join,0.19597589771472082
postgresql,3,6,3.0,20_nested_loops,0.15927013235641718
postgresql,3,6,3.0,10_intersect,0.12201684899137205
postgresql,3,6,4.5,18_merge_join,0.1518166470366539
postgresql,3,6,4.5,16_large_agg,0.05731562373519305
postgresql,3,6,4.5,17_left_join,0.19348312567059406
postgresql,3,6,4.5,20_nested_loops,0.1516047259189684
postgresql,3,6,4.5,10_intersect,0.10479382392511964
postgresql,3,6,6.0,18_merge_join,0.16024519369591284
postgresql,3,6,6.0,16_large_agg,0.05995605473492501
postgresql,3,6,6.0,17_left_join,0.20112761846051558
postgresql,3,6,6.0,20_nested_loops,0.14891296991232186
postgresql,3,6,6.0,10_intersect,0.1030892612962999
postgresql,3,9,3.0,18_merge_join,0.11764234249581068
postgresql,3,9,3.0,16_large_agg,0.05121661321363339
postgresql,3,9,3.0,17_left_join,0.30666601263824783
postgresql,3,9,3.0,20_nested_loops,0.1277975834748441
postgresql,3,9,3.0,10_intersect,0.2071726858193604
postgresql,3,9,4.5,18_merge_join,0.1357807468552003
postgresql,3,9,4.5,16_large_agg,0.05079516951234093
postgresql,3,9,4.5,17_left_join,0.2655033025905873
postgresql,3,9,4.5,20_nested_loops,0.13094313527103543
postgresql,3,9,4.5,10_intersect,0.20649875140589632
postgresql,3,9,6.0,18_merge_join,0.13207305674444564
postgresql,3,9,6.0,16_large_agg,0.04708902220216879
postgresql,3,9,6.0,17_left_join,0.22360131374800926
postgresql,3,9,6.0,20_nested_loops,0.13630675531564038
postgresql,3,9,6.0,10_intersect,0.18178326247714194
postgresql,4,1,3.0,18_merge_join,0.33955911105353853
postgresql,4,1,3.0,16_large_agg,0.16414286880507922
postgresql,4,1,3.0,17_left_join,0.2577924293693871
postgresql,4,1,3.0,20_nested_loops,0.3338653278255661
postgresql,4,1,3.0,10_intersect,0.17276526837280187
postgresql,4,1,4.5,18_merge_join,0.345106521147696
postgresql,4,1,4.5,16_large_agg,0.14562797862530386
postgresql,4,1,4.5,17_left_join,0.271150721817526
postgresql,4,1,4.5,20_nested_loops,0.3482978297935264
postgresql,4,1,4.5,10_intersect,0.16431868023024254
postgresql,4,1,6.0,18_merge_join,0.29130202382197407
postgresql,4,1,6.0,16_large_agg,0.13113828567116348
postgresql,4,1,6.0,17_left_join,0.29571325073504195
postgresql,4,1,6.0,20_nested_loops,0.3333929586782926
postgresql,4,1,6.0,10_intersect,0.1784475148426612
postgresql,4,3,3.0,18_merge_join,0.17378295785471945
postgresql,4,3,3.0,16_large_agg,0.06041609102550607
postgresql,4,3,3.0,17_left_join,0.1972395296047902
postgresql,4,3,3.0,20_nested_loops,0.18837969425222031
postgresql,4,3,3.0,10_intersect,0.10294026261836557
postgresql,4,3,4.5,18_merge_join,0.16643707745115852
postgresql,4,3,4.5,16_large_agg,0.0700940980369791
postgresql,4,3,4.5,17_left_join,0.18199751081896579
postgresql,4,3,4.5,20_nested_loops,0.16527273719760394
postgresql,4,3,4.5,10_intersect,0.10627772273651137
postgresql,4,3,6.0,18_merge_join,0.17510914640144268
postgresql,4,3,6.0,16_large_agg,0.06880797326066403
postgresql,4,3,6.0,17_left_join,0.18683730688742023
postgresql,4,3,6.0,20_nested_loops,0.1807419141454124
postgresql,4,3,6.0,10_intersect,0.10718921995514202
postgresql,4,6,3.0,18_merge_join,0.12388912096973292
postgresql,4,6,3.0,16_large_agg,0.04217677376048325
postgresql,4,6,3.0,17_left_join,0.175509681922494
postgresql,4,6,3.0,20_nested_loops,0.1254687447615429
postgresql,4,6,3.0,10_intersect,0.08335268484017576
postgresql,4,6,4.5,18_merge_join,0.13139645723785134
postgresql,4,6,4.5,16_large_agg,0.04228691730722197
postgresql,4,6,4.5,17_left_join,0.1810394415229125
postgresql,4,6,4.5,20_nested_loops,0.12402441957509566
postgresql,4,6,4.5,10_intersect,0.08616518040566358
postgresql,4,6,6.0,18_merge_join,0.12937306220695774
postgresql,4,6,6.0,16_large_agg,0.049263278958797306
postgresql,4,6,6.0,17_left_join,0.18018267475315677
postgresql,4,6,6.0,20_nested_loops,0.12309613591799468
postgresql,4,6,6.0,10_intersect,0.07882154547008192
postgresql,4,9,3.0,18_merge_join,0.106186989948768
postgresql,4,9,3.0,16_large_agg,0.03336548488652614
postgresql,4,9,3.0,17_left_join,0.16661477065161093
postgresql,4,9,3.0,20_nested_loops,0.10437652699800115
postgresql,4,9,3.0,10_intersect,0.11752257956046579
postgresql,4,9,4.5,18_merge_join,0.09590817090020382
postgresql,4,9,4.5,16_large_agg,0.032578779720874196
postgresql,4,9,4.5,17_left_join,0.1711760438282542
postgresql,4,9,4.5,20_nested_loops,0.09996139565196618
postgresql,4,9,4.5,10_intersect,0.1161593919413684
postgresql,4,9,6.0,18_merge_join,0.10052031209564798
postgresql,4,9,6.0,16_large_agg,0.029370368709363107
postgresql,4,9,6.0,17_left_join,0.1705407020118677
postgresql,4,9,6.0,20_nested_loops,0.11046974370470156
postgresql,4,9,6.0,10_intersect,0.08140497011786042
postgresql,5,1,3.0,18_merge_join,0.3374286127736156
postgresql,5,1,3.0,16_large_agg,0.1694108890869067
postgresql,5,1,3.0,17_left_join,0.26937905957728325
postgresql,5,1,3.0,20_nested_loops,0.35275691961603584
postgresql,5,1,3.0,10_intersect,0.17940585501192274
postgresql,5,1,4.5,18_merge_join,0.33691128062094894
postgresql,5,1,4.5,16_large_agg,0.16573868974268424
postgresql,5,1,4.5,17_left_join,0.2916666727264585
postgresql,5,1,4.5,20_nested_loops,0.3601830961385935
postgresql,5,1,4.5,10_intersect,0.1927560986290163
postgresql,5,1,6.0,18_merge_join,0.3543138961461704
postgresql,5,1,6.0,16_large_agg,0.13168474704591665
postgresql,5,1,6.0,17_left_join,0.258412023523137
postgresql,5,1,6.0,20_nested_loops,0.37589090785819573
postgresql,5,1,6.0,10_intersect,0.19577812670837402
postgresql,5,3,3.0,18_merge_join,0.18515608955995813
postgresql,5,3,3.0,16_large_agg,0.06387199857567226
postgresql,5,3,3.0,17_left_join,0.20361898492928254
postgresql,5,3,3.0,20_nested_loops,0.18603404362083104
postgresql,5,3,3.0,10_intersect,0.10950501396916026
postgresql,5,3,4.5,18_merge_join,0.19260855140603214
postgresql,5,3,4.5,16_large_agg,0.07655343773283538
postgresql,5,3,4.5,17_left_join,0.21201579363918585
postgresql,5,3,4.5,20_nested_loops,0.19138247429694955
postgresql,5,3,4.5,10_intersect,0.0954697218526935
postgresql,5,3,6.0,18_merge_join,0.1828564068840241
postgresql,5,3,6.0,16_large_agg,0.060086249086568747
postgresql,5,3,6.0,17_left_join,0.19596604627123848
postgresql,5,3,6.0,20_nested_loops,0.186467379703965
postgresql,5,3,6.0,10_intersect,0.11183750036348478
postgresql,5,6,3.0,18_merge_join,0.12548568906246102
postgresql,5,6,3.0,16_large_agg,0.04170681723517136
postgresql,5,6,3.0,17_left_join,0.18155308244357934
postgresql,5,6,3.0,20_nested_loops,0.13412867569210934
postgresql,5,6,3.0,10_intersect,0.09016128912040243
postgresql,5,6,4.5,18_merge_join,0.13649438886599805
postgresql,5,6,4.5,16_large_agg,0.0399984841514072
postgresql,5,6,4.5,17_left_join,0.1744414514276406
postgresql,5,6,4.5,20_nested_loops,0.14408633465813908
postgresql,5,6,4.5,10_intersect,0.08598556119499305
postgresql,5,6,6.0,18_merge_join,0.13098628066252824
postgresql,5,6,6.0,16_large_agg,0.04583634082309435
postgresql,5,6,6.0,17_left_join,0.17764447866243036
postgresql,5,6,6.0,20_nested_loops,0.1390945473536973
postgresql,5,6,6.0,10_intersect,0.09231118376798873
postgresql,5,9,3.0,18_merge_join,0.10472915785884414
postgresql,5,9,3.0,16_large_agg,0.03520195856367988
postgresql,5,9,3.0,17_left_join,0.17286224794292251
postgresql,5,9,3.0,20_nested_loops,0.11854680083774315
postgresql,5,9,3.0,10_intersect,0.13853248356202352
postgresql,5,9,4.5,18_merge_join,0.12340278634850628
postgresql,5,9,4.5,16_large_agg,0.03049551967621589
postgresql,5,9,4.5,17_left_join,0.18423510576631325
postgresql,5,9,4.5,20_nested_loops,0.11650183159589782
postgresql,5,9,4.5,10_intersect,0.08926236223029853
postgresql,5,9,6.0,18_merge_join,0.09795356638999547
postgresql,5,9,6.0,16_large_agg,0.033672038618951836
postgresql,5,9,6.0,17_left_join,0.1826120356858194
postgresql,5,9,6.0,20_nested_loops,0.11349992757017169
postgresql,5,9,6.0,10_intersect,0.07687178759834136
